"分類","メモ","コマンド","表示名","いまの区分","高互換","止めるまで続く","歩ける","小道具","相手","車","成人向け","効果","手がかり","Dict","Anim"
"","","/e lawnchair","Lawnchair","物を持つ","","○","","prop_skid_chair_02","","","","","","timetable@ron@ig_5_p3","ig_5_p3_base"
"","","/e lawnchair2","Lawnchair 2","物を持つ","","○","","prop_skid_chair_02","","","","","","timetable@reunited@ig_10","base_amanda"
"","","/e lawnchair3","Lawnchair 3","物を持つ","","○","","prop_skid_chair_02","","","","","","timetable@ron@ig_3_couch","base"
"","","/e laydownsexy","Laying Down Sexy","ふつうの動作","","○","","","","","","","","anim@female_laying_sexy","laying_sexy_clip"
"","","/e layncry","Lay & Cry","ふつうの動作","","○","","","","","","","nightclub","anim@amb@nightclub@lazlow@lo_sofa@","lowsofa_dlg_fuckedup_laz"
"","","/e layncry2","Lay & Cry 2","ふつうの動作","","○","","","","","","","nightclub","anim@amb@nightclub@lazlow@lo_sofa@","lowsofa_base_laz"
"","","/e layncry3","Lay & Cry 3","ふつうの動作","","○","","","","","","","nightclub","anim@amb@nightclub@lazlow@lo_sofa@","lowsofa_dlg_notagain_laz"
"","","/e layncry4","Lay & Cry 4","ふつうの動作","","○","","","","","","","nightclub","anim@amb@nightclub@lazlow@lo_sofa@","lowsofa_dlg_notagain_laz"
"","","/e layncry5","Lay & Cry 5","ふつうの動作","","○","","","","","","","nightclub","anim@amb@nightclub@lazlow@lo_sofa@","lowsofa_dlg_shit2strong_laz"
"","","/e layncry6","Lay & Cry 6","ふつうの動作","","○","","","","","","","","misschinese2_crystalmaze","2int_loop_a_taocheng"
"","","/e layncry7","Lay & Cry 7","ふつうの動作","","○","","","","","","","gun","anim@scripted@data_leak@fixf_fin_ig2_johnnyguns_wounded@","base"
"","","/e layncry8","Lay & Cry 8","ふつうの動作","","○","","","","","","","golf","anim@scripted@data_leak@fix_golf_ig2_golfclub_intimidation@","stage_3_base_golfer"
"","","/e laysexy","Lay Sexy","ふつうの動作","","○","","","","","","","","amnilka@photopose@female@homepack001","amnilka_femalehome_photopose_004"
"","","/e leafblower","Leaf Blower","物を持つ","○","","○","prop_leaf_blower_01","","","","○","","amb@world_human_gardener_leaf_blower@base","base"
"","","/e lean","Lean","ふつうの動作","○","","","","","","","","lean","Scenario:SCENARIO","WORLD_HUMAN_LEANING"
"","","/e lean2","Lean 2","ふつうの動作","○","○","","","","","","","lean","amb@world_human_leaning@female@wall@back@hand_up@idle_a","idle_a"
"","","/e lean3","Lean 3","ふつうの動作","○","○","","","","","","","lean","amb@world_human_leaning@female@wall@back@holding_elbow@idle_a","idle_a"
"","","/e lean4","Lean 4","ふつうの動作","○","○","","","","","","","lean","amb@world_human_leaning@male@wall@back@foot_up@idle_a","idle_a"
"","","/e lean5","Lean 5","ふつうの動作","○","○","","","","","","","lean","amb@world_human_leaning@male@wall@back@hands_together@idle_b","idle_e"
"","","/e lean6","Lean 6","ふつうの動作","","○","","","","","","","lean","anim@scripted@freemode_npc@fix_agy_ig4_lamar@","lean_wall_idle_03_lamar"
"","","/e leanbar","Lean Bar","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","PROP_HUMAN_BUM_SHOPPING_CART"
"","","/e leanbar2","Lean Bar 2","ふつうの動作","○","○","","","","","","","","amb@prop_human_bum_shopping_cart@male@idle_a","idle_c"
"","","/e leanbar3","Lean Bar 3","ふつうの動作","○","○","","","","","","","nightclub","anim@amb@nightclub@lazlow@ig1_vip@","clubvip_base_laz"
"","","/e leanbar4","Lean Bar 4","ふつうの動作","○","○","","","","","","","","anim@heists@prison_heist","ped_b_loop_a"
"","","/e leanflirt","Lean Flirt","ふつうの動作","○","○","","","","","","","","random@street_race","_car_a_flirt_girl"
"","","/e leanhigh","Lean High","ふつうの動作","○","","○","","","","","","","anim@mp_ferris_wheel","idle_a_player_one"
"","","/e leanhigh2","Lean High 2","ふつうの動作","○","","○","","","","","","","anim@mp_ferris_wheel","idle_a_player_two"
"","","/e leanphone","Leaning With Phone","物を持つ","","○","","prop_phone_ing","","","","","lean","amb@world_human_leaning@male@wall@back@mobile@base","base"
"","","/e leanplan","Lean On Table","ふつうの動作","","○","","","","","","","","anim@amb@board_room@diagram_blueprints@","idle_01_amy_skater_01"
"","","/e leanside","Leanside","ふつうの動作","○","","○","","","","","","","timetable@mime@01_gc","idle_a"
"","","/e leanside2","Leanside 2","ふつうの動作","○","","○","","","","","","","misscarstealfinale","packer_idle_1_trevor"
"","","/e leanside3","Leanside 3","ふつうの動作","○","","○","","","","","","","misscarstealfinalecar_5_ig_1","waitloop_lamar"
"","","/e leanside4","Leanside 4","ふつうの動作","○","○","","","","","","","","misscarstealfinalecar_5_ig_1","waitloop_lamar"
"","","/e leanside5","Leanside 5","ふつうの動作","○","○","","","","","","","","rcmjosh2","josh_2_intp1_base"
"","","/e ledge","Ledge","ふつうの動作","○","○","","","","","","","","missfbi1","ledge_loop"
"","","/walk Lester","Lester","歩き方","○","","","","","","","","","move_heist_lester",""
"","","/walk Lester2","Lester 2","歩き方","○","","","","","","","","","move_lester_caneup",""
"","","/e lift","Lift","ふつうの動作","○","","○","","","","","","","random@hitch_lift","idle_f"
"","","/e liftme","Lift Me","2人でやる","","○","","","liftme2","","","","","couplepose1pack1anim2@animation","couplepose1pack1anim2_clip"
"","","/e liftme2","Lift Me 2","2人でやる","","○","","","liftme","","","","","couplepose1pack1anim1@animation","couplepose1pack1anim1_clip"
"","","/e liftme3","Lift Me 3","2人でやる","","○","","","liftme4","","","","","couplepose2pack1anim2@animation","couplepose2pack1anim2_clip"
"","","/e liftme4","Lift Me 4","2人でやる","","○","","","liftme3","","","","","couplepose2pack1anim1@animation","couplepose2pack1anim1_clip"
"","","/e liftme5","Lift Me 5","2人でやる","","○","","","liftme6","","","","","couplepose3pack1anim2@animation","couplepose3pack1anim2_clip"
"","","/e liftme6","Lift Me 6","2人でやる","","○","","","liftme5","","","","","couplepose3pack1anim1@animation","couplepose3pack1anim1_clip"
"","","/e lighter","Lighter - Cigar","物を持つ","","","○","lux_prop_lighter_luxe","","","","○","","ebrwny_pack000","ebrwny_spark"
"","","/e lighter2","Lighter - Cigar Sit","物を持つ","","○","","lux_prop_lighter_luxe","","","","○","","ebrwny_pack000","ebrwny_spark"
"","","/e lol","LOL","ふつうの動作","○","○","","","","","","","","anim@arena@celeb@flat@paired@no_props@","laugh_a_player_b"
"","","/e lol2","LOL 2","ふつうの動作","○","○","","","","","","","","anim@arena@celeb@flat@solo@no_props@","giggle_a_player_b"
"","","/e lollipop1","Lollipop Spiral Red","物を持つ","","","○","natty_lollipop_spiral01","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e lollipop1b","Lollipop Spiral Pink","物を持つ","","","○","natty_lollipop_spiral02","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e lollipop1c","Lollipop Spiral Green","物を持つ","","","○","natty_lollipop_spiral03","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e lollipop1d","Lollipop Spiral Blue","物を持つ","","","○","natty_lollipop_spiral04","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e lollipop1e","Lollipop Spiral Yellow","物を持つ","","","○","natty_lollipop_spiral05","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e lollipop1f","Lollipop Spiral Purple","物を持つ","","","○","natty_lollipop_spiral06","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e lollipop2a","Lollipop Spin Red","物を持つ","","","○","natty_lollipop_spin01","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e lollipop2b","Lollipop Spin Yellow And Pink","物を持つ","","","○","natty_lollipop_spin02","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e lollipop2c","Lollipop Spin Yellow And Green","物を持つ","","","○","natty_lollipop_spin03","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e lollipop2d","Lollipop Spin Yellow And White","物を持つ","","","○","natty_lollipop_spin04","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e lollipop2e","Lollipop Spin Pink And White","物を持つ","","","○","natty_lollipop_spin05","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e lollipop3a","Lollipop Suck","物を持つ","","","○","natty_lollipop01","","","","","smoking","amb@world_human_smoking@male@male_a@enter","enter"
"","","/e lookout","Lookout","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","CODE_HUMAN_CROSS_ROAD_WAIT"
"","","/e lostconfused","Lost & Confused","ふつうの動作","","","","","","","","","","anim@scripted@island@special_peds@dave@hs4_dave_stage2_ig6","i_lost_it"
"","","/e macaroon","Macaroon","物を持つ","","","○","bzzz_food_xmas_macaroon_a","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e mafia","Mafia Boss - Gun Point","物を持つ","","","○","w_pi_revolver_b","","","","○","","chocoholic@single12","single12_clip"
"","","/e maid","Maid","ふつうの動作","○","","","","","","","","lean","Scenario:SCENARIO","WORLD_HUMAN_MAID_CLEAN"
"","","/e makeitrain","Make It Rain","物を持つ","○","","○","prop_anim_cash_pile_01","","","","○","","anim@mp_player_intupperraining_cash","idle_a"
"","","/e malecrossarms","Male Cross Arms","ふつうの動作","","○","","","","","","","","cross_arms@dark","cross_arms_clip"
"","","/e malefistface","Male Fist Face","ふつうの動作","","○","","","","","","","","fist_face@darksj","fist_face_clip"
"","","/e malegangpose","Male Gang Pose","ふつうの動作","","○","","","","","","","","westside_cap@darksj","westside_cap_clip"
"","","/e malegunpose1","Male Gun Pose 1","ふつうの動作","","○","","","","","","","gun","gun_ink@darksj","gun_ink_clip"
"","","/e malemiddlefinger","Male Middle Finger","ふつうの動作","","○","","","","","","","","stand_middlefinger@dark","stand_middlefinger_clip"
"","","/e malemirrorselfie","Male Mirror Selfie","物を持つ","","○","","prop_phone_ing","","","","○","","anim@male_model_08","m_model_08_clip"
"","","/e malemirrorselfie1","Male Mirror Selfie 1","物を持つ","","○","","prop_phone_ing","","","","○","","anim@male_selfie_08","m_selfie_08_clip"
"","","/e malemirrorselfie2","Male Mirror Selfie 2","物を持つ","","○","","prop_phone_ing","","","","○","","anim@male_selfie_06","m_selfie_06_clip"
"","","/e malemirrorselfie3","Male Mirror Selfie 3","物を持つ","","○","","prop_phone_ing","","","","○","","anim@male_selfie_09","m_selfie_09_clip"
"","","/e malemirrorselfie4","Male Mirror Selfie 4","物を持つ","","○","","prop_phone_ing","","","","○","","anim@male_model_03","m_model_03_clip"
"","","/e malepose1","Male Pose 1","ふつうの動作","","○","","","","","","","","male_solo_4@darksj","male_solo_4_clip"
"","","/e malepose2","Male Pose 2","ふつうの動作","","○","","","","","","","","male_solo_3@darksj","male_solo_3_clip"
"","","/e malepose3","Male Pose 3","ふつうの動作","","○","","","","","","","","male_solo_1@darksj","male_solo_1_clip"
"","","/e malepose4","Male Pose 4","ふつうの動作","","○","","","","","","","","fuckm@nxsty","fuckm_clip"
"","","/e malepose5","Male Pose 5","ふつうの動作","","○","","","","","","","","koko_male@darksj","koko_male_clip"
"","","/e maleposea","Male Pose A","ふつうの動作","","○","","","","","","","","drx@singlemale1","drx"
"","","/e maleposeb","Male Pose B","ふつうの動作","","○","","","","","","","","drx@singlemale2","drx"
"","","/e maleposec","Male Pose C","ふつうの動作","","○","","","","","","","","drx@singlemalestand1","drx"
"","","/e maleposed","Male Pose D","ふつうの動作","","○","","","","","","","","drx@singlemalestand2","drx"
"","","/e maleposee","Male Pose E","ふつうの動作","","○","","","","","","","","drx@m_doublehands","drx"
"","","/e maleposee1","Male Pose E1","ふつうの動作","","○","","","","","","","","drx@malestand2","xrd"
"","","/e maleposef","Male Pose F","ふつうの動作","","○","","","","","","","","drx@m_standhide","drx"
"","","/e maleposef1","Male Pose F1","ふつうの動作","","○","","","","","","","","drx@malestand3c","xrd"
"","","/e maleposeg","Male Pose G","ふつうの動作","","○","","","","","","","","drx@pose_male","pose_male"
"","","/e maleposeh","Male Pose H","ふつうの動作","","○","","","","","","","","mrwitt@gentleman_style_male","mrwitt"
"","","/e maleposei","Male Pose I","ふつうの動作","","○","","","","","","","","mrwitt@thoughtful_man_m","mrwitt"
"","","/e maleposetie","Male Pose Tie","ふつうの動作","","○","","","","","","","","mrwitt@tie_perfection_in_suit_male","mrwitt"
"","","/e maleshoecheck","Male Shoe Check Pose","ふつうの動作","","○","","","","","","","","side_shoe_check@darksj","side_shoe_check_clip"
"","","/e malestandpose","Male Stand Pose","ふつうの動作","","○","","","","","","","","anim@male_model_11","m_model_11_clip"
"","","/e mallet","Mallet","物を持つ","","","○","prop_tool_mallet","","","","","","amb@world_human_hammering@male@base","base"
"","","/e mallow","Marshmallow Stick - White","物を持つ","","","○","bzzz_camp_stick_marshmallow","","","","","","move_crouch_proto","idle"
"","","/e mallow2","Marshmallow Stick - Pink","物を持つ","","","○","bzzz_camp_stick_mellopink","","","","","","move_crouch_proto","idle"
"","","/e mallow3","Marshmallow Stick - Burnt","物を持つ","","","○","bzzz_camp_stick_melloburnt","","","","","","move_crouch_proto","idle"
"","","/e mallow4","Marshmallow On A Fork - White","物を持つ","","","○","bzzz_camp_food_marshmallow","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e mallow5","Marshmallow On A Fork - Pink","物を持つ","","","○","bzzz_camp_food_mellopink","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e mallow6","Marshmallow On A Fork - Burnt","物を持つ","","","○","bzzz_camp_food_melloburnt","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/walk Maneater","Maneater","歩き方","○","","","","","","","","eat","move_f@maneater",""
"","","/e map","Map","物を持つ","○","","○","prop_tourist_map_01","","","","","","amb@world_human_tourist_map@male@base","base"
"","","/e map2","Map 2","物を持つ","","","○","prop_tourist_map_01","","","","","","amb@code_human_in_bus_passenger_idles@female@tablet@idle_a","idle_a"
"","","/e maskdown","Firefighter Mask","物を持つ","","","○","","","","","","","anim@mp_helmets@on_foot","visor_down"
"","","/e masktakeoff","Take Off Mask","物を持つ","","","○","","","","","","","anim@scripted@bty5@ig1_intimidate_actor@female_heeled@","mask_action_b"
"","","/e maskup","Firefighter Unmask","物を持つ","","","○","","","","","","","anim@mp_helmets@on_foot","visor_up"
"","","/e me","Me","ふつうの動作","○","","○","","","","","","","gestures@f@standing@casual","gesture_me_hard"
"","","/e meat","Meat On A Stick","物を持つ","","","○","bzzz_camp_stick_kebab","","","","","","move_crouch_proto","idle"
"","","/e meat2","Meat On A Fork","物を持つ","","","○","bzzz_camp_food_kebab","","","","","eat","mp_player_inteat@burger","mp_player_int_eat_burger"
"","","/e mechanic","Mechanic","ふつうの動作","○","○","","","","","","","","mini@repair","fixing_a_ped"
"","","/e mechanic2","Mechanic 2","ふつうの動作","○","○","","","","","","","","mini@repair","fixing_a_player"
"","","/e mechanic3","Mechanic 3","ふつうの動作","○","○","","","","","","","","amb@world_human_vehicle_mechanic@male@base","base"
"","","/e mechanic4","Mechanic 4","ふつうの動作","○","○","","","","","","","","anim@amb@clubhouse@tutorial@bkr_tut_ig3@","machinic_loop_mechandplayer"
"","","/e mechanic5","Mechanic 5","ふつうの動作","","○","","","","","","","","amb@prop_human_movie_bulb@idle_a","idle_b"
"","","/e medbag","Medic Bag","物を持つ","","","○","xm_prop_x17_bag_med_01a","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e medbag2","Medic Bag 2","物を持つ","","","○","v_ret_ta_firstaid","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e medbox","Medic Box","物を持つ","","","○","xm_prop_smug_crate_s_medical","","","","","","move_weapon@jerrycan@generic","idle"
"","","/e medic","Medic","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","CODE_HUMAN_MEDIC_TEND_TO_DEAD"
"","","/e medic2","Medic 2","ふつうの動作","○","○","","","","","","","","amb@medic@standing@tendtodead@base","base"
"","","/e meditate","Meditate","ふつうの動作","○","○","","","","","","","","rcmcollect_paperleadinout@","meditiate_idle"
"","","/e meditate2","Meditate 2","ふつうの動作","○","○","","","","","","","","rcmepsilonism3","ep_3_rcm_marnie_meditating"
"","","/e meditate3","Meditate 3","ふつうの動作","○","○","","","","","","","","rcmepsilonism3","base_loop"
"","","/e megaphone","Megaphone","物を持つ","","","○","prop_megaphone_01","","","","","phone","molly@megaphone","megaphone_clip"
"","","/e megaphone2","Megaphone 2","物を持つ","","","○","prop_megaphone_01","","","","","phone","molly@megaphone2","megaphone_clip"
"","","/e megaphone3","Megaphone 3","物を持つ","","","○","prop_megaphone_01","","","","","phone","anim@rifle_megaphone","rifle_holding_megaphone"
"","","/e metal","Metal","ふつうの動作","○","","○","","","","","","","anim@mp_player_intincarrockstd@ps@","idle_a"
"","","/walk Michael","Michael","歩き方","○","","","","","","","","","move_ped_bucket",""
"","","/e microck","Microphone Rock","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p1","mic@p1"
"","","/e microckb","Microphone Rock 2","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p2","mic@p2"
"","","/e microckc","Microphone Rock 3","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p3","mic@p3"
"","","/e microckd","Microphone Rock 4","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p4","mic@p4"
"","","/e microcke","Microphone Rock 5","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p5","mic@p5"
"","","/e microckf","Microphone Rock 6","物を持つ","","","○","v_ilev_fos_mic","","","","","","lunyx@mic@p6","mic@p6"
"","","/e microckg","Microphone Rock 7","物を持つ","","","○","v_ilev_fos_mic","","","","","","lunyx@mic@p7","mic@p7"
"","","/e microckh","Microphone Rock 8","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p8","mic@p8"
"","","/e microcki","Microphone Rock 9","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p9","mic@p9"
"","","/e microckj","Microphone Rock 10","物を持つ","","","○","sf_prop_sf_mic_01a","","","","","","lunyx@mic@p10","mic@p10"
"","","/e mindblown","Mind Blown","ふつうの動作","○","","○","","","","","","","anim@mp_player_intcelebrationmale@mind_blown","mind_blown"
"","","/e mindblown2","Mind Blown 2","ふつうの動作","○","","○","","","","","","","anim@mp_player_intcelebrationfemale@mind_blown","mind_blown"
"","","/e mindcontrol","Mind Control","ふつうの動作","○","○","","","","","","","","rcmbarry","mind_control_b_loop"
"","","/e mindcontrol2","Mind Control 2","ふつうの動作","○","○","","","","","","","","rcmbarry","bar_1_attack_idle_aln"
"","","/e mnc","Milk & Cookies","物を持つ","","","○","m23_2_prop_m32_milkncookies_01a","","","","","","anim@heists@box_carry@","idle"
"","","/e model","Model Pose Sexy","ふつうの動作","","○","","","","","","","","anim@female_model_showoff","model_showoff_clip"
"","","/e model2","Model Pose 2","ふつうの動作","","○","","","","","","","","sitdownonknees@queensisters","sitdown_clip"
"","","/e model3","Model Pose 3","ふつうの動作","","○","","","","","","","","anim@female_model_photo_cute","photo_cute_clip"
"","","/e mojito","Mojito","物を持つ","","","○","prop_mojito","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/walk Money","Money","歩き方","○","","","","","","","","","move_m@money",""
"","","/e mop","Mop","物を持つ","","","○","prop_cs_mop_s","","","","","","missfbi4prepp1","idle"
"","","/e mop2","Mop 2","物を持つ","","","○","prop_cs_mop_s","","","","","","move_mop","idle_scrub_small_player"
"","","/mood Mouthbreather","Mouthbreather","表情","","","","","","","","","smoking","smoking_hold_1",""
"","","/mood Mouthbreather2","Mouthbreather 2","表情","","","","","","","","","smoking","smoking_inhale_1",""
"","","/e mshake","Milkshake - Bubblegum","物を持つ","","","○","brum_cherryshake_bubblegum","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakeb","Milkshake - Cherry","物を持つ","","","○","brum_cherryshake_cherry","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakec","Milkshake - Chocolate","物を持つ","","","○","brum_cherryshake_chocolate","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshaked","Milkshake - Coffee","物を持つ","","","○","brum_cherryshake_coffee","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakee","Milkshake - Double Chocolate","物を持つ","","","○","brum_cherryshake_doublechocolate","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakef","Milkshake - Frappe","物を持つ","","","○","brum_cherryshake_frappe","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakeg","Milkshake - Lemon","物を持つ","","","○","brum_cherryshake_lemon","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakeh","Milkshake - Mint","物を持つ","","","○","brum_cherryshake_mint","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakei","Milkshake - Strawberry","物を持つ","","","○","brum_cherryshake_strawberry","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakej","Milkshake - Raspberry","物を持つ","","","○","brum_cherryshake_raspberry","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakek","Milkshake - Salted","物を持つ","","","○","brum_cherryshake_salted","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mshakel","Milkshake - Vanilla","物を持つ","","","○","brum_cherryshake_vanilla","","","","","drinking drink","amb@code_human_wander_drinking@female@base","static"
"","","/e mugshot","Mugshot","物を持つ","○","","○","prop_police_id_board","","","","","eat","mp_character_creation@customise@male_a","loop"
"","","/e murder1","Murder Axe","物を持つ","","○","","bzzz_murder_axe001","","","","","","dead","dead_e"
"","","/e murder2","Murder Pistol","物を持つ","","○","","w_pi_heavypistol","","","","","","dead","dead_a"
"","","/e murder3","Murder Machete","物を持つ","","○","","bzzz_murder_machete001","","","","","","dead","dead_b"
"","","/walk Muscle","Muscle","歩き方","○","","","","","","","","","move_m@muscle@a",""
"","","/e musician","Musician","ふつうの動作","○","","","","","","","","","Scenario:MALE","WORLD_HUMAN_MUSICIAN"
"","","/e nailgun","Nail Gun","物を持つ","","","○","prop_tool_nailgun","","","","","","anim@heists@fleeca_bank@drilling","drill_straight_end"
"","","/e namaste","Namaste","ふつうの動作","○","","○","","","","","","","timetable@amanda@ig_4","ig_4_base"
"","","/e nervous","Nervous","ふつうの動作","○","","○","","","","","","","amb@world_human_bum_standing@twitchy@idle_a","idle_c"
"","","/e nervous2","Nervous 2","ふつうの動作","○","","○","","","","","","","mp_missheist_countrybank@nervous","nervous_idle"
"","","/e nervous3","Nervous 3","ふつうの動作","○","","○","","","","","","","rcmme_tracey1","nervous_loop"
"","","/e nervous4","Nervous 4","ふつうの動作","","","","","","","","","","fix_trip3_mcs1-9","cs_marnie_dual-9"
"","","/walk Nervous","Nervous","歩き方","","","","","","","","","","move_characters@jimmy@nervous@",""
"","","/mood Neverblink","Never Blink","表情","","","","","","","","","","pose_normal_1",""
"","","/e newsbmic","News Boom Microphone","物を持つ","","","○","prop_v_bmike_01","","","","","","missfra1","mcs2_crew_idle_m_boom"
"","","/e newscam","News Camera","物を持つ","","","○","prop_v_cam_01","","","","","","missfinale_c2mcs_1","fin_c2_mcs_1_camman"
"","","/e newsmic","News Microphone","物を持つ","","","○","p_ing_microphonel_01","","","","","","anim@heists@humane_labs@finale@keycards","ped_a_enter_loop"
"","","/e newspaper","Newspaper","物を持つ","","","○","prop_cliff_paper","","","","","clipboard","amb@world_human_clipboard@male@idle_a","idle_a"
"","","/e newspaper2","Newspaper 2","物を持つ","","","○","ng_proc_paper_news_quik","","","","","clipboard","amb@world_human_clipboard@male@idle_a","idle_a"
"","","/e newspaper3","Newspaper 3","物を持つ","","","○","ng_proc_paper_news_rag","","","","","clipboard","amb@world_human_clipboard@male@idle_a","idle_a"
"","","/e no","No","ふつうの動作","○","","○","","","","","","","anim@heists@ornate_bank@chat_manager","fail"
"","","/e no2","No 2","ふつうの動作","○","","○","","","","","","","mp_player_int_upper_nod","mp_player_int_nod_no"
"","","/e nosepick","Nose Pick","ふつうの動作","○","","○","","","","","","","anim@mp_player_intcelebrationfemale@nose_pick","nose_pick"
"","","/e notepad","Notepad","物を持つ","○","","○","prop_notepad_01","","","","","clipboard","missheistdockssetup1clipboard@base","base"
"","","/e notepad2","Notepad 2","ふつうの動作","○","","","","","","","","eat","Scenario:SCENARIO","CODE_HUMAN_MEDIC_TIME_OF_DEATH"
"","","/e noway","No Way","ふつうの動作","○","","○","","","","","","","gestures@m@standing@casual","gesture_no_way"
"","","/e ok","OK","ふつうの動作","○","","○","","","","","","","anim@mp_player_intselfiedock","idle_a"
"","","/e old","Old Man Walking Stick","物を持つ","","","○","prop_cs_walking_stick","","","","○","","missbigscore2aleadinout@bs_2a_2b_int","lester_base_idle"
"","","/e old2","Old Man Zimmerframe","物を持つ","","","○","v_res_d_zimmerframe","","","","","","zimmerframe_walk@dark","zimmerframe_walk_clip"
"","","/mood Oneeye","One Eye","表情","","","","","","","","","aiming","pose_aiming_1",""
"","","/e outofbreath","Out of Breath","ふつうの動作","○","","","","","","","","eat","re@construction","out_of_breath"
"","","/e papers","Papers","物を持つ","","","○","xm3_prop_xm3_papers_01a","","","","","phone","missheistdocksprep1hold_cellphone","static"
"","","/walk Paramedic","Paramedic","歩き方","","","","","","","","","","move_paramedic",""
"","","/e parkingmeter","Parking Meter","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","PROP_HUMAN_PARKING_METER"
"","","/e party","Party","ふつうの動作","○","","","","","","","","","Scenario:SCENARIO","WORLD_HUMAN_PARTYING"
"","","/e party_lighter","Party lighter","物を持つ","","","○","samnick_prop_lighter01","","","","","wave","samnick@lighter@wave","waving_lighter"
"","","/e passout","Passout","ふつうの動作","○","○","","","","車の外だけ","","","","missarmenian2","drunk_loop"
"","","/e passout2","Passout 2","ふつうの動作","○","○","","","","車の外だけ","","","","missarmenian2","corpse_search_exit_ped"
"","","/e passout3","Passout 3","ふつうの動作","○","○","","","","車の外だけ","","","","anim@gangops@morgue@table@","body_search"
"","","/e passout4","Passout 4","ふつうの動作","○","○","","","","車の外だけ","","","","mini@cpr@char_b@cpr_def","cpr_pumpchest_idle"
"","","/e passout5","Passout 5","ふつうの動作","○","○","","","","車の外だけ","","","","random@mugging4","flee_backward_loop_shopkeeper"
"","","/e passout6","Passout 6","ふつうの動作","","○","","","","車の外だけ","","","","anim@scripted@data_leak@fix_bil_ig2_chopper_crawl@","fix_bil_ig2_chopper_crawl_loop_ped"
"","","/e passout7","Passout 7","ふつうの動作","","○","","","","車の外だけ","","","","anim@scripted@data_leak@fix_bil_ig2_chopper_crawl@","fix_bil_ig2_chopper_crawl_dead_loop_ped"
"","","/e passout8","Passout 8","ふつうの動作","","○","","","","車の外だけ","","","","anim@scripted@data_leak@fix_bil_ig2_chopper_crawl@","fix_bil_ig2_chopper_crawl_dead_loop_ped"
"","","/walk Patricia","Patricia","歩き方","","","","","","","","","","move_characters@patricia",""
"","","/e patrolcar","Patrol Car - Front","物を持つ","","○","","prop_cs_police_torch_02","","","","","","amb@incar@male@patrol@torch@base","base"
"","","/e patrolcarl","Patrol Car - Left","物を持つ","","○","","prop_cs_police_torch_02","","","","","","amb@incar@male@patrol@torch@idle_b","idle_d"
"","","/e patrolcarr","Patrol Car - Right","物を持つ","","○","","prop_cs_police_torch_02","","","","","","amb@incar@male@patrol@torch@idle_a","idle_a"
